  Table : fluxint_800U.tbl 
 Sequence LAMBDA_AIR   INT        FWHM       FLUX      
 -------- ------------ ---------- ---------- ----------
        1  8541.984375   27.84285    0.27605    0.24749
        2  8548.394531  274.57352    0.21579    2.72653
        3  8548.957031  247.52283    0.21798    2.39785
        4  8572.113281   17.42680    0.22092    0.17277
        5  8573.446289   18.15409    0.46043    0.18027
        6  8573.769531   14.80727    0.70329    0.14704
        7  8575.732422   24.37459    0.21934    0.24204
        8  8577.651367   22.86350    0.21059    0.22084
        9  8588.024414   72.56876    0.22003    0.72061
       10  8588.365234   73.58290    0.20059    0.72887
       11  8596.674805  113.74756    0.20685    1.07498
       12  8597.376953  113.88984    0.20099    1.13093
       13  8604.169922   11.12646    0.15718    0.11049
       14  8604.484375   11.49947    0.29188    0.09044
       15  8606.257812   11.59582    0.49862    0.11515
       16  8607.942383   12.40834    0.25794    0.11875
       17  8608.349609   17.49125    0.22085    0.17369
       18  8609.958984   16.08589    0.20053    0.15973
       19  8610.559570   30.00382    0.20906    0.29794
       20  8612.159180   25.49714    0.21047    0.24426
       21  8612.963867   47.32407    0.20840    0.46993
       22  8614.537109   45.45269    0.21768    0.43338
       23  8615.565430   78.93504    0.19870    0.76361
       24  8617.133789   70.31590    0.21637    0.69794
       25  8618.370117  139.37770    0.20173    1.38403
       26  8621.353516  198.58646    0.19891    1.97198
       27  8622.900391  170.47704    0.19803    1.69285
       28  8624.543945  247.80098    0.20692    2.46068
       29  8626.066406  224.12769    0.20644    2.14670
       30  8627.920898  300.67981    0.20109    2.98577
       31  8629.424805  254.63812    0.19532    2.52857
       32  8631.488281  307.57022    0.20026    3.05419
       33  8632.974609  242.95222    0.20180    2.41253
       34  8635.253906  258.80157    0.20721    2.56992
       35  8636.713867  185.93259    0.19920    1.84632
 -------- ------------ ---------- ---------- ----------
