0.032  -12.84  106.69
0.034   33.39   99.51
0.214   43.94   95.98
0.263    3.33  114.80
0.275  -40.77  101.85
0.275  -74.86  116.19
0.450  393.36   87.88
0.500  407.97   95.52
0.500  430.94   95.40
0.630  309.27   88.11
0.800  375.70   75.31
0.900   90.52  114.68
0.900  593.45   94.48
0.900  214.94  112.85
0.900  432.01  117.07
1.000  821.97  117.69
1.100  589.42  115.73
1.100  726.37  105.12
1.400  612.05  102.32
1.700 1041.65  100.19
2.000  523.25   98.03
2.000  842.31  110.77
2.000  808.53  103.41
2.000 1108.45   85.17
